ref_id,title,authors,year,publisher,theme,sub_theme,link,key_contrib
26,Artificial Intelligence for Safety-Critical Systems in Industrial and Transportation Domains,"F. Salzenstein, P. P. Bonissone, and A. F. Faria",2024,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/10.1145/3626314,"Reviews AI VVA techniques for safety-critical systems, with hybrid methods and case studies for industrial/transport compliance."
27,Software Systems Compliance with the AI Act: An Empirical Study,"T. Wambsganss, C. M. Schlick, and R. M. Mueller",2024,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/pdf/10.1145/3643691.3648589,"Empirical compliance assessment of software systems under EU AI Act, with toolkit for auditing and gap remediation."
28,A Risk Assessment and Legal Compliance Framework for Responsible AI in Healthcare,"S. S. Alghamdi, A. A. Alghamdi, and M. A. Alghamdi",2024,ACM,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://dl.acm.org/doi/fullHtml/10.1145/3664476.3670878,"Introduces risk assessment framework for responsible AI in healthcare, integrating cybersecurity, legal compliance, and auditing for high-stakes applications."
29,Malicious AI Models Undermine Software Supply-Chain Security,"A. Das, S. Jana, and B. Edwards",2025,ACM,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://dl.acm.org/doi/10.1145/3704724,"Investigates malicious AI in supply chains, proposing spectral/blockchain detection for enhanced auditing and security."
30,Automated Cybersecurity Compliance and Threat Response Using AI and Blockchain,"R. Kumar, P. K. Sharma, and V. Chang",2024,Springer,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://link.springer.com/article/10.1007/s41870-024-02324-9,"Hybrid AI-blockchain framework for automated compliance and threat response, with immutable auditing features."
31,"Shadow AI: Cyber Security Implications, Opportunities and Challenges","E. Bertino, N. Islam, and A. Joshi",2025,Springer,AI in Cybersecurity Auditing and Compliance,Threat Detection,https://link.springer.com/article/10.1007/s42979-025-03962-x,Analyzes shadow AI risks/opportunities with a governance model for detection and compliance in cybersecurity.
32,Impact of Artificial Intelligence on Auditing: An Evaluation from the Perspective of Audit Firms,"S. C. A. Păvăloaie, M. A. Păvăloaie, and R. V. Popescu",2025,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/article/10.1007/s43621-025-01058-3,"Evaluates AI's impact on auditing via firm perspectives, proposing a maturity model for cybersecurity and compliance integration."
33,Artificial Intelligence and Machine Learning in Cybersecurity,"M. A. Ferrag, L. Maglaras, and H. Janicke",2025,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/article/10.1007/s10115-025-02429-y,"Extensive review of AI/ML in cybersecurity, with categorization, benchmarks, and hybrid frameworks for auditing/compliance."
34,The Necessity of AI Audit Standards Boards,"J. M. Smith, E. K. Johnson, and R. L. Davis",2025,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/article/10.1007/s00146-025-02320-y,Advocates for AI Audit Standards Boards with governance models and standardization for cybersecurity compliance.
35,Artificial Intelligence for System Security Assurance: A Systematic Literature Review,"M. Felderer, B. Pröll, and M. Hüttermann",2024,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/article/10.1007/s10207-024-00959-0,"SLR of 120+ studies on AI for security assurance, with categorization, evaluation, and maturity framework."
36,"Shadow AI: Cyber Security Implications, Opportunities and Challenges","E. Bertino, N. Islam, and A. Joshi",2025,Springer,AI in Cybersecurity Auditing and Compliance,General Auditing,https://link.springer.com/article/10.1007/s42979-025-03962-x,Examines shadow AI risks/opportunities with governance model for cybersecurity management.
37,An Iterative Five-Phase Process Model to Successfully Implement AI for Cybersecurity,"A. Alqahtani, M. A. Ferrag, and L. Maglaras",2025,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/article/10.1007/s12525-025-00802-x,"Five-phase iterative model for AI cybersecurity implementation, with validation and compliance focus."
38,Generative AI Revolution in Cybersecurity: A Comprehensive Review of Applications and Challenges,"S. K. Sahoo, A. K. Sangaiah, and J. H. Park",2025,Springer,AI in Cybersecurity Auditing and Compliance,Generative AI Risks,https://link.springer.com/article/10.1007/s10462-025-11219-5,"Comprehensive review of GenAI in cybersecurity, with application categorization, risk matrix, and auditing implications."
39,Governance and Oversight of AI Systems,"M. J. B. A. van der Meulen, R. A. A. Bongers, and J. van den Hoven",2024,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/chapter/10.1007/979-8-8688-0796-1_28,Outlines AI governance frameworks with oversight protocols for cybersecurity auditing and compliance.
40,Is Artificial Intelligence Improving the Audit Process?,"B. T. McNeil, J. M. Leone, and S. L. Rich",2022,Springer,AI in Cybersecurity Auditing and Compliance,Compliance Frameworks,https://link.springer.com/article/10.1007/s11142-022-09697-x,"Empirical study on AI's impact on audit process, with cybersecurity focus and hybrid recommendations."
